,Loading Time(ms),Data Size(MB),Execute Time Local(ms), Execute Time Server(ms),Energy(J)
input,0,0.57421875,0.001,1000,0
features.1,1.256704330444336,0.73858642578125,0.12111663818359375,0.05,0
features.2,0.850677490234375,0.17803955078125,1.7783641815185547,0.8,0
classifier.1,298.8238334655762,0.01568603515625,13.26894760131836,8.0,0
